name,feastDay,knownFor,patronOf,dates,origin,gender,traits,quotes,title,associatedDates,lived,bio,funFact
"St. Elizabeth Ann Seton","January 4","St. Elizabeth Ann Seton is recognized as the first native-born American saint and the founder of the Sisters of Charity.","Catholic schools, widows, seafarers","1774-1821","USA","Female","compassionate; dedicated; inspirational; resilient; humble","If I cannot see God in the ways I want, I take care to see Him in the way He is.; The condition of the heart is this: the clearness of intention to do good.; We must pray without ceasing, in every occurrence and employment of our lives.","St. Elizabeth Ann Seton","August 4 (Death), January 4 (Feast Day)","1774-1821","St. Elizabeth Ann Seton was a devoted wife and mother who faced personal tragedies, including the loss of her husband. She responded to her call to serve God by founding the first Catholic school in the United States and established the Sisters of Charity. Her legacy continues in the mission of education and charitable service throughout the country.","St. Elizabeth Ann Seton opened the first free Catholic school in the United States in 1809."
"St. Katharine Drexel","March 3","Katharine Drexel founded the Sisters of the Blessed Sacrament and dedicated her life to serving Native Americans and African Americans.","racial justice, philanthropists","1858-1955","USA","Female","service; compassion; leadership; community; justice","I would rather spend my time in pursuing a great cause than in being a collector of antiques.; Every encounter with Jesus should empower us to serve others.; The greatest gift we can give to the world is to be filled with love and compassion for our neighbors.","St. Katharine Drexel","March 3; November 14","1858-1955","St. Katharine Drexel was a wealthy heiress who chose to dedicate her fortune to the service of marginalized communities. She established a religious order and helped to found over 60 schools, significantly advancing education for Native Americans. Her commitment to social justice and racial equality has inspired countless individuals in their pursuit of justice.","St. Katharine Drexel is the second American-born saint to be canonized by the Catholic Church."
"St. Teresa of Calcutta","September 5","St. Teresa of Calcutta is renowned for her unwavering dedication to serving the poorest of the poor through the Missionaries of Charity.","World Youth Day, Calcutta","1910-1997","Albania/India","Female","compassion; humility; dedication; servitude; leadership","Not all of us can do great things. But we can do small things with great love.; If you judge people, you have no time to love them.; Peace begins with a smile.","St. Teresa of Calcutta","1910-1997","1910-1997","St. Teresa of Calcutta, born in Albania, dedicated her life to caring for the destitute and dying in the streets of Calcutta, India. She founded the Missionaries of Charity in 1950, which has grown to include thousands of members worldwide. Her selfless acts of love and service earned her the Nobel Peace Prize in 1979, but she always emphasized that the true reward was in serving God through others.","Despite her immense fame, St. Teresa preferred to live a life of humility and simplicity, often opting for a single pair of sandals and a basic diet."
"St. Edith Stein","August 9","A Jewish philosopher who converted to Catholicism, became a Carmelite nun, and was martyred at Auschwitz.","Europe, loss of parents, martyrs","1891-1942","Germany","Female","intellectual; compassionate; brave; spiritual; insightful","To be a saint is to be a lover of the truth.; The nation doesn't simply have a story, it is a story. It can live only to the extent that its life conforms to the truth.; The Lord is not a tyrant, but He desires our love and partnership.","St. Edith Stein","January 1 (Carmelite feast)","1891-1942","St. Edith Stein, also known as St. Teresa Benedicta of the Cross, was a brilliant philosopher and theologian whose writings recognized the dignity of women in the Church. After converting from Judaism to Catholicism, she joined the Carmelite order and devoted her life to prayer and teaching. Tragically, she was arrested during World War II and died in Auschwitz, yet her legacy continues to inspire many today.","St. Edith Stein is the only Jewish-born woman to be canonized as a saint in the Catholic Church."
"St. John Paul II","October 22","Pope for 27 years, instrumental in the fall of communism, and founder of World Youth Day.","World Youth Day, families, Poland","1920-2005","Poland","Male","compassionate; charismatic; visionary; devoted; determined","Do not be afraid to open the doors to Christ.; The future starts today, not tomorrow.; Life with Christ is a wonderful adventure.","St. John Paul II","May 18, 1920; April 2, 2005","1920-2005","St. John Paul II, born Karol Wojtyła, was the first non-Italian pope in 455 years and served from 1978 to 2005. He played a crucial role in the downfall of communism in Eastern Europe, advocating for human dignity and rights. His legacy includes a profound pastoral outreach, particularly to the youth, and a commitment to ecumenism and interfaith dialogue.","He was an avid outdoorsman and loved hiking, skiing, and canoeing."
"St. Padre Pio","September 23","A revered Capuchin friar known for his stigmata, spiritual gifts, and deep dedication to confessional ministry.","civil defense volunteers, stress relief, adolescent children, the sick, and those suffering from life-threatening illnesses","1887-1968","Italy","Male","mysticism; compassion; humility; piety; resilience","Pray, hope, and don't worry.; The worry of today is the ruin of tomorrow.; A soul that is united with God cannot fear death.","St. Padre Pio","January 15 (canonization)","1887-1968","St. Padre Pio, born Francesco Forgione, became a Capuchin friar and is best known for bearing the stigmata for over 50 years. He was a prolific confessor, often spending hours each day in the sacrament of reconciliation, profoundly impacting countless lives. His mysticism and extraordinary gifts, including bilocation, have made him a beloved figure in the Catholic Church.","St. Padre Pio was known to have the ability to bilocate, being seen in two places at once during his lifetime."
"St. Josemaría Escrivá","June 26","Founder of Opus Dei and advocate for finding holiness in everyday life.","diabetes patients, work","1902-1975","Spain","Male","dedicated; humble; inspirational; optimistic; passionate","We cannot love God unless we love our neighbor.; The way to holiness is through the ordinary, giving your best in your work.; Don't seek holiness in extraordinary things; seek it in the ordinary tasks of your daily life.","St. Josemaría Escrivá","October 2 (Opus Dei Feast)","1902-1975","St. Josemaría Escrivá was a Spanish priest who dedicated his life to encouraging people to pursue holiness through their daily work. He founded Opus Dei in 1928, promoting the idea that everyone is called to be a saint, regardless of their profession. His teachings continue to inspire countless individuals worldwide to integrate their faith into every aspect of their lives.","St. Josemaría Escrivá was beatified by Pope John Paul II in 1992 and canonized in 2002, making him one of the few saints recognized in such a relatively short time after their death."
"St. Gianna Molla","April 28","A devoted physician who chose her child's life over her own during childbirth.","Mothers, physicians, unborn children","1922-1962","Italy","Female","compassionate; dedicated; selfless; courageous; loving","If you are what you should be, you will set the whole world ablaze!; The greatest thing is love and the desire to love.; I have not given you a perfect life, but I have given you a purpose.","St. Gianna Molla","1922-1962","1922-1962","St. Gianna Molla was an Italian pediatrician who dedicated her life to helping the sick and promoting family values. During her pregnancy, she faced a life-threatening medical condition but chose to prioritize her baby's survival, ultimately sacrificing her own life. Today, she is celebrated as a model of selfless love and maternal sacrifice.","St. Gianna was the first woman who was not a martyr to be canonized by the Catholic Church."
"St. Teresa Benedicta","August 9","A Jewish convert to Catholicism who became a Carmelite philosopher and was martyred at Auschwitz.","Europe, loss of parents, martyrs, philosophers","1891-1942","Germany","Female","intellectual; compassionate; courageous; thoughtful; determined","The nation doesn’t simply live in its people; they live in the nation.; To deny a nation the right to exist is to deny us all the right to exist.; In the end, the spirit of God will triumph.","St. Teresa Benedicta of the Cross","January 17 (her baptism), July 31 (her confirmation)","1891-1942","Born Edith Stein in Germany, she was a brilliant philosopher who converted to Catholicism and took the name Teresa Benedicta of the Cross. As a Carmelite nun, she dedicated her life to prayer and contemplation before ultimately being arrested and sent to Auschwitz during World War II for her Jewish heritage. Her profound writings on faith and philosophy have inspired countless individuals in their spiritual journeys.","St. Teresa Benedicta was once a student of the renowned philosopher Edmund Husserl and was deeply influenced by his teachings."
"St. Rose of Lima","August 23","Known as the first indigenous saint of the Americas, St. Rose of Lima is celebrated for her deep spirituality and commitment to serving the poor.","Latin America, florists, gardeners","1586-1617","Peru","Female","compassionate; devout; self-sacrificing; resilient; inspirational","I am a servant of God and a servant of the poor.; Let us strive to love our neighbor as ourselves.; Without the cross, there is no paradise.","St. Rose of Lima","August 30 - the date of her birth,","1586-1617","Born Isabel Flores de Oliva in Lima, Peru, Rose adopted the name of a rose to express her beauty of spirit. Throughout her life, she dedicated herself to prayer, fasting, and helping those in need, often taking extreme measures of penance. Her dedication to God and the marginalized made her a beloved figure, and she was canonized in 1671, becoming the first saint of the Americas.","St. Rose of Lima was the first person born in the Americas to be canonized by the Catholic Church."
"St. Martin de Porres","November 3","A devoted Dominican lay brother known for his profound compassion and extraordinary healing abilities.","Barbers, innkeepers, public health, racial harmony","1579-1639","Peru","Male","humble; compassionate; healing; resilient; devoted","No one makes a greater mistake than he who did nothing because he could do only a little.; I can do all things through Christ who strengthens me.; Prayer is an act of love.","St. Martin de Porres","November 3; October 28","1579-1639","St. Martin de Porres was born in Lima, Peru, to a Spanish father and a black mother, and he faced racial discrimination throughout his life. He joined the Dominicans as a lay brother, where he dedicated his life to serving the poor and caring for the sick, including both people and animals. His legacy of charity and humility continues to inspire those who seek to promote racial harmony and health care for all.","St. Martin is often depicted with a broom, symbolizing his humility and his role in caring for the home and the needy."
"St. Juan Diego","December 9","His vision of the Virgin Mary in Guadalupe led to a significant cultural and religious movement in Mexico.","indigenous peoples, Mexico, the Americas","1474-1548","Mexico","Male","humility; simplicity; faith; devotion; perseverance","She is my Mother.; I am a messenger of the Mother of God.; Do not be afraid; am I not here, I who am your Mother?","St. Juan Diego","December 12 (Feast of Our Lady of Guadalupe)","1474-1548","St. Juan Diego was a humble indigenous man who experienced a vision of the Virgin Mary in 1531. This encounter resulted in the miraculous image of Our Lady of Guadalupe, which became a powerful symbol of faith. His devotion and simplicity continue to inspire millions, making him a beloved figure in the Catholic Church.","St. Juan Diego was canonized by Pope John Paul II in 2002, making him the first indigenous saint from the Americas."
"St. Kateri Tekakwitha","July 14","She is recognized as the first Native American saint, honored for her conversion and deep faith despite facing considerable persecution.","Ecology, Native Americans, exiles","1656-1680","USA/Canada","Female","compassionate; devout; resilient; peaceful; caring","I will be the first to pay for my people’s sins.; I love you, Jesus, and I want to serve you.; Teach me to be an instrument of your peace.","St. Kateri Tekakwitha","Various dates related to her canonization and life events","1656-1680","St. Kateri Tekakwitha was born in 1656 in what is now New York, growing up amidst the Mohawk people. After the death of her family members from smallpox, she embraced Christianity, dedicating herself to a life of faith and service. Known for her unwavering commitment to her beliefs, she became a symbol of unity between Native American spirituality and Christian faith.","Her face is said to have cleared up and shone with beauty after she died, leading those who saw her to declare her a saint even before her canonization."
"St. Augustine of Canterbury","May 27","The first Archbishop of Canterbury who played a crucial role in establishing Christianity in England.","England, bishops","d. c. 604","Italy","Male","compassionate; determined; charismatic; faithful; courageous","By the grace of God, I am what I am.; What you have heard from me in the presence of many witnesses entrust to faithful men.; The face is the mirror of the mind, and eyes without speaking confess the secrets of the heart.","St. Augustine of Canterbury","June 26 (Western Church); February 24 (Eastern Church)","d. 604","St. Augustine of Canterbury was sent by Pope Gregory the Great in 597 AD to convert the Anglo-Saxons to Christianity. He established the See of Canterbury and became its first Archbishop, laying the groundwork for the English Church. His efforts marked the beginning of a significant Christian presence in England, influencing its cultural and spiritual development.","He is often referred to as the 'Apostle to the English' and is credited with the conversion of King Æthelberht of Kent."
"St. Columba","June 9","A pivotal Irish missionary credited with spreading Christianity in Scotland.","Scotland, Ireland, poets","521-597","Ireland","Male","dedicated; charismatic; inspiring; artistic; compassionate","I am a servant of Christ, and I seek to serve the least among my brethren.; Let your heart be lifted up to God, and in His name, let us go forth.; The Lord is my cloak; I will not be afraid.","St. Columba","May 21 (death anniversary), June 9 (canonical feast)","521-597","St. Columba was an Irish abbot and missionary who played a crucial role in converting the Picts of Scotland to Christianity. He founded the famous monastery on Iona, which became a center for Christian learning and evangelization. His dedication to spreading the Gospel and his poetic legacy continue to inspire many to this day.","St. Columba is said to have encountered a water monster in Loch Ness, which is often considered the origin of the legend surrounding Nessie."
"St. Bede the Venerable","May 25","An influential monk and scholar who authored the first comprehensive history of the English church.","Historians, scholars, England","c. 673-735","England","Male","intellectual; devout; scholarly; humble; reflective","Time flies inexorably, and like a fire, consumes everything in its path.; He who does not have the Holy Spirit can never see or understand the Kingdom of God.; It is a good and noble thing to live in communion with God, in the communion of saints.","St. Bede the Venerable","November 17 (Feast of St. Bede in the Roman Rite)","c. 673-735","St. Bede the Venerable was a Benedictine monk at the Monastery of Wearmouth-Jarrow in England, where he spent most of his life dedicated to learning and teaching. His most notable work, 'Ecclesiastical History of the English People,' has earned him the title of the father of English history. Known for his deep spirituality, Bede combined his scholarly endeavors with a profound faith that inspired many during and after his lifetime.","St. Bede is unique among saints for being one of the first historians to date events using the birth of Christ as a reference point, a practice that later became standard in Western chronology."
"St. Olaf","July 29","St. Olaf was a king who played a crucial role in the Christianization of Norway.","Norway, kings, warriors","995-1030","Norway","Male","leadership; evangelical; devout; courageous; persevering","Christ is my light; His will is my power.; I will die as a Christian, for I am a servant of Christ.; Faith is a shield, and courage its armor.","St. Olaf, King of Norway","1030-07-29; 995-1030","995-1030","St. Olaf, known for his fierce leadership, ascended to the throne of Norway in the 11th century. He was instrumental in spreading Christianity throughout the region, often through both peaceful evangelization and military means. Driven by his faith, he is remembered for his dedication to creating a united Christian kingdom.","St. Olaf's legacy includes the transformation of Norway into a significant Christian nation, and he is honored with the title 'Saint' despite being a king who wielded a sword."
"St. Stanislaus","April 11","A bishop and martyr who stood against the excesses of the monarchy in Poland.","Poland, Krakow, invoked against infertility, often considered a protector of the church","1030-1079","Poland","Male","leadership; conviction; courage; sacrifice; integrity","As a shepherd, I must ensure my flock is safe from the wolves.; Faith is my shield; with it, I can face any king.; The truth has a way of prevailing, even against the mightiest of adversaries.","St. Stanislaus","April 11; May 7","1030-1079","St. Stanislaus was a prominent bishop of Krakow who fiercely defended the rights of the Church against the corrupt practices of the Polish king Bolesław II. His unwavering conviction and moral courage ultimately led to his martyrdom around the year 1079. Today, he is remembered not only as a protector of the faith but also as a symbol of justice and integrity in Poland.","St. Stanislaus was initially a respected member of the Polish aristocracy before becoming known for his opposition to the king, showcasing his remarkable transformation."
"St. Wenceslaus","September 28","St. Wenceslaus was a Duke of Bohemia who was martyred by his brother in defense of his Christian faith.","Czech Republic, Bohemia, brewers","c. 907-935","Czech Republic","Male","courageous; devout; compassionate; noble; steadfast","I will not let the wrongs of others take away my righteousness.; Where there is strife, may I bring peace; where there is error, may I bring truth.; Together with God, I wield my sword against injustice.","St. Wenceslaus","January 1; March 4","c. 907-935","St. Wenceslaus, revered as the patron saint of the Czech Republic, is known for his leadership during a challenging time for Christianity in Central Europe. Despite familial betrayal, he remained steadfast in promoting the Christian faith and justice. His legacy endures in the hearts of the Czech people, symbolizing courage and devotion.","St. Wenceslaus is often depicted in art holding a banner bearing the image of a Bohemian lion, a symbol of Czech pride."
"St. Vladimir","July 15","The prince who played a pivotal role in Christianizing Kievan Rus.","Russia, Ukraine, converts","c. 958-1015","Ukraine/Russia","Male","visionary; courageous; influential; devout; strategic","Let us be united in faith, and strive for the salvation of our souls.; Peace came to my heart when I found the true God.; Through Christ, I found the strength to lead my people.","St. Vladimir the Great","July 28 (Eastern Orthodox Church)","c. 958-1015","St. Vladimir, known as the Great, was a noble ruler of Kievan Rus who strategically embraced Christianity in 988, leading to the Christianization of his people. His conversion was a landmark moment that laid the foundation for Ukraine and Russia's cultural and spiritual heritage. Today, he is celebrated not only as a saint but also as an important historical figure in the development of Eastern Slavic civilization.","St. Vladimir is often depicted holding a cross and a sword, symbolizing his dual roles as a leader and a spiritual guide."
"St. Casimir","March 4","A Polish prince celebrated for his piety and commitment to chastity.","Poland, Lithuania, youth","1458-1484","Poland","Male","devout; chaste; leadership; compassionate; inspiring","Do not let the fear of the future disturb you; God will take care of it.; Purity of heart is the brightest gem in the crown of virtue.; I am convinced that love alone can bring peace to the world.","St. Casimir","May 14; November 14","1458-1484","St. Casimir was a Polish prince who dedicated his life to serving God and leading a life of virtue. Known for his deep faith, he refused to succumb to worldly temptations and was a model of Christian charity. His legacy continues to inspire the youth of Poland and Lithuania to strive for purity and devotion.","St. Casimir is often depicted in art wearing princely robes and a crown, but holding a lily, symbolizing his purity."
"St. Rose Philippine Duchesne","November 18","St. Rose Philippine Duchesne was a pioneering missionary who played a significant role in the education of Native Americans in the United States.","against poverty, opposition of Church authorities, education, missionaries","1769-1852","France/USA","Female","compassionate; determined; educational; devout; resilient","I wish to be like the good Mother who offered her son on the altar for the sake of souls.; Let us be convinced that an act of love is worth more than all the good works in the world.; Prayer, to be fervent, must be made with the heart.","St. Rose Philippine Duchesne","January 9 (beatified); July 3 (canonized)","1769-1852","Born in France, St. Rose Philippine Duchesne felt a calling to serve as a missionary in America, where she dedicated her life to education and the spiritual nourishment of Native American communities. Overcoming great challenges, she founded schools and spread the teachings of Christ among those she served. Her unwavering faith and compassion have made her a beloved figure in the Catholic Church.","Despite her age and health challenges, she established a successful mission in Missouri, known for its emphasis on Native American education."
"St. John de Brébeuf","October 19","Jesuit missionary and martyr in Canada.","Canada, North American martyrs","1593-1649","France/Canada","Male","devout; resilient; compassionate; dedicated; intrepid","You must remember, my brothers, that any virtue of ours is not our own but comes from God.; What would you have me do, Lord? To die for you is an honor.; Eternal God, grant that I may endure all things for Your greater glory.","St. John de Brébeuf","March 16 (Feast of the North American Martyrs)","1593-1649","St. John de Brébeuf was a Jesuit missionary who dedicated his life to evangelizing the Indigenous peoples of North America, particularly the Huron Nation. He endured great hardships and faced violent opposition, ultimately being martyred for his faith in 1649. His deep love for the people he served inspired him to learn their language and culture, leaving a lasting legacy of compassion and sacrifice.","He is known for creating a Huron dictionary, making significant contributions to understanding Indigenous languages."
"St. Isaac Jogues","October 19","Jesuit missionary and martyr who dedicated his life to evangelizing Native Americans in North America.","Americas, North American martyrs","1607-1646","France/USA","Male","courage; dedication; resilience; humility; faith","I am more than willing to die for God’s people.; When I am among the savages, I feel as if I have encountered the cross of Christ.; If I could find a way to be more helpful to the Native Americans, I would gladly trade my life for their salvation.","St. Isaac Jogues","1626-1646","1607-1646","St. Isaac Jogues was a French Jesuit missionary whose unwavering dedication brought him to the New World in service of the Gospel. Captured by the Iroquois, he endured severe torture and hardships, ultimately returning to his mission in New York. He was martyred in 1646, and his sacrifices paved the way for future missionaries in North America.","St. Isaac Jogues is one of the first North American saints to be canonized, reflecting the Church's recognition of the sacrifices made by early missionaries."
"St. Andrew Kim Taegon","September 20","The first Korean priest and a martyr for the faith.","Korea, Korean clergy","1821-1846","Korea","Male","brave; devout; compassionate; determined; selfless","I would still choose to become a priest as I have long dreamed and follow God’s will.; In the love of God, for the sake of my brothers, I am ready to die.; Our lives are not our own, but belong to God, who guides us in strength.","St. Andrew Kim Taegon","1821-1846","d. 1846","St. Andrew Kim Taegon was born in 1821 in Korea, during a time of intense persecution for Christians. He became the first native Korean priest and dedicated his life to spreading the Gospel despite overwhelming odds, ultimately paying the ultimate price for his faith. His martyrdom in 1846 inspired many and marked a pivotal point in the establishment of the Catholic Church in Korea.","St. Andrew Kim Taegon was also known for his passionate commitment to evangelizing his fellow Koreans, making significant sacrifices for his mission."
"St. Peter Chanel","April 28","A Marist missionary who was martyred in Oceania while spreading the Christian faith.","Oceania, Marist priests","1803-1841","France/Oceania","Male","courage; dedication; conviction; compassion; selflessness","I do not fear death. I fear to die without having given myself completely to God.; The blood of martyrs is the seed of Christians.; There is no greater love than to give one’s life for one’s friends.","St. Peter","April 28; April 29 (optional)","1803-1841","St. Peter Chanel was a French priest who devoted his life to missionary work in the islands of Oceania. He faced great dangers but remained unwavering in his commitment to spreading Christianity. His efforts ultimately led to his martyrdom in 1841, affirming his legacy as a courageous missionary.","St. Peter Chanel is credited with the first recorded conversion in the Loyalty Islands."
"St. John XXIII","October 11","He is celebrated for initiating the Second Vatican Council, promoting openness and reform in the Catholic Church.","papal delegates, Venice","1881-1963","Italy","Male","compassionate; humble; visionary; charismatic; diplomatic","The whole world is my homeland.; I have also seen that it is not necessary to show off one's own virtues.; Consult not your fears but your hopes and your dreams.","St. John XXIII","October 11; June 3","1881-1963","Pope John XXIII, born Angelo Giuseppe Roncalli, was a transformative figure in the Catholic Church during the mid-20th century. He guided the Church towards modernization through his convocation of the Second Vatican Council, which aimed to address relations with the modern world. His emphasis on compassion and pastoral care helped to reshape the Church's approach to its faithful and to society.","St. John XXIII was affectionately called 'Good Pope John' because of his warmth and approachability."
"St. Oscar Romero","March 24","Archbishop martyred for his defense of the poor and oppressed in El Salvador.","Americas, El Salvador, persecuted Christians","1917-1980","El Salvador","Male","compassion; courage; integrity; leadership; selflessness","If we cannot see Christ in the poor, we cannot see him in the Eucharist.; A church that does not provoke any crisis, a gospel that does not unsettle, a word of God that does not get under anyone's skin, what gospel is that?; The church is the people of God. I am always preaching that the church should be the people.","St. Oscar Romero","August 15, beatification; October 14, canonization","1917-1980","St. Oscar Romero was a prominent Salvadoran archbishop who spoke out against human rights abuses during the Salvadoran Civil War. Known for his unwavering commitment to social justice, he advocated for the vulnerable and marginalized in society. His life was tragically cut short when he was assassinated while celebrating Mass on March 24, 1980.","St. Romero's choice to stand with the poor and his prophetic voice made him a symbol of hope and resistance in El Salvador and beyond."
"St. Thomas More","June 22","St. Thomas More was a Lord Chancellor of England who was martyred for his unwavering faith and refusal to accept King Henry VIII's authority over the Church.","lawyers, politicians, statesmen, adopted children","1478-1535","England","Male","conviction; courage; sacrifice; intellect; nurturing","I die the king's good servant, but God's first.; This is no time to be a coward; I have a soul to save.; When a man is at peace with himself, he can hardly be at war with others.","St. Thomas More","April 9; July 6","1478-1535","St. Thomas More was a renowned English lawyer, philosopher, and author known for his strong moral conviction. As Lord Chancellor, he stood firm against the Act of Supremacy, ultimately leading to his execution in 1535. His life exemplifies integrity and steadfastness in faith amidst political turmoil.","St. Thomas More is also known for authoring the book 'Utopia', which presents a fictional island society and its political system."
"St. John Fisher","June 22","Bishop and martyr who opposed King Henry VIII's separation from the Catholic Church.","Bishops, theologians, priests","1469-1535","England","Male","intellectual; courageous; wise; principled; leadership","In the hands of the Almighty, I am safe, though I cannot see the way.; I am willing to die for the sake of truth.; It is better to suffer wrong than to do wrong.","St. John Fisher","1459 (birth); 1535 (martyrdom)","1469-1535","St. John Fisher was an English bishop and theologian who stood firmly against the Protestant Reformation led by King Henry VIII. His unwavering commitment to the papacy and the moral teachings of the Church ultimately led to his martyrdom in 1535. He was canonized by Pope Pius XI in 1935, often remembered for his intellectual bravery and profound faith.","St. John Fisher was one of the first English bishops to be executed for his faith, a testament to his fierce loyalty to the Catholic Church."
"St. Edmund Campion","December 1","A Jesuit priest who became a martyr in England during the persecution of Catholics.","England, Jesuits, scholars","1540-1581","England","Male","intellectual; conviction; courage; sacrifice; determined","The truth is like a lion; you don’t have to defend it. Let it loose; it will defend itself.; I am not afraid of your threats, nor of your dungeons.; I am worth more dead than alive.","St. Edmund Campion","November 17","1540-1581","St. Edmund Campion was born in England in 1540 and became a prominent Jesuit priest. Known for his unwavering faith, he was martyred for refusing to abandon his Catholic beliefs during the Elizabethan persecutions. His legacy as a scholar and martyr continues to inspire many in the Catholic faith.","St. Edmund Campion was an accomplished scholar and wrote a famous pamphlet titled 'Decem Rationes' defending Catholicism."
"St. Margaret Clitherow","March 25","Margaret Clitherow was a laywoman and martyr recognized for her unwavering commitment to the Catholic faith during the English Reformation.","Converts, businesswomen, martyrs","1556-1586","England","Female","conviction; courage; sacrifice; devotion; compassion","I die a Catholic, for the faith I have received.; I am ready to suffer for the truth, for it is my life.; If you will save my life, I cannot consent to it.","St. Margaret Clitherow","d. 1586","d. 1586","St. Margaret Clitherow was born in England and became a devoted wife and mother who bravely hid priests to protect them from persecution. Her actions led to her arrest and trial, where she refused to betray her faith, ultimately sacrificing her life for her beliefs. Recognized as a martyr for her courage, she inspires many to stand firm in their convictions.","Margaret Clitherow was executed by pressing, a unique form of martyrdom where heavy weights were placed on her body, yet she remained steadfast in her faith until the end."
"St. Oliver Plunkett","July 1","St. Oliver Plunkett was a courageous archbishop and martyr during the persecution of Catholics in Ireland.","Ireland, peace, reconciliation","1625-1681","Ireland","Male","courageous; devout; compassionate; resilient; scholarly","I die innocent of all charges against me.; My greatest joy is that I live for Christ.; Do not let your fear intimidate you in the face of persecution.","St. Oliver Plunkett","1679 - execution date; 1625 - birth year","1625-1681","St. Oliver Plunkett was a prominent figure in the Catholic Church during a time of great turmoil in Ireland. He dedicated his life to serving the spiritual needs of his people, ultimately sacrificing his own life for his unwavering faith. His execution in 1681 made him a symbol of resistance against religious oppression and a celebrated martyr.","St. Oliver Plunkett is the last martyr in England and Wales, executed in 1681 for his faith."
"St. Brigid of Ireland","February 1","Brigid is notable for her role in founding monasteries and establishing Christian communities in Ireland.","Ireland, dairymaids, midwives, scholars, poetesses","c. 451-525","Ireland","Female","compassionate; wise; visionary; nurturing; leadership","I would like a great lake of beer for the King of Kings. I would drink it deep, and I would pour it out for all who thirst.; A blessing upon the man who brings the message of peace.; It is the goodness of God that led me to embrace the poverty of Christ.","St. Brigid","January 20 (Eastern Orthodox)","c. 451-525","St. Brigid of Ireland, born in the early 5th century, is celebrated for her dedication to spirituality and community service. She founded the famous monastery at Kildare, which became a center of learning and piety. Known for her compassion and wisdom, Brigid's life and teachings continue to inspire many in their faith.","St. Brigid is said to have transformed water into beer, showcasing her miraculous influence on agriculture."
"St. Brendan the Navigator","May 16","An Irish monk celebrated for his legendary sea voyages across the Atlantic Ocean.","Sailors, travelers, whales","c. 484-577","Ireland","Male","adventurous; spiritual; persevering; visionary; inspiring","For the sake of Christ, be ready for anything.; There is a place in the heavens where we shall meet again.; Let us go forth, seek our God, and be faithful to the end.","St. Brendan the Navigator","c. 484-577","c. 484-577","St. Brendan the Navigator was an influential Irish monk who founded several monasteries in Ireland and abroad. His most famous journey, the 'Navigatio Sancti Brendani,' describes an adventurous voyage across the Atlantic, exploring mystical lands. Through his travels, he inspired countless generations with tales of faith and exploration.","St. Brendan is often credited with having discovered America centuries before Columbus made his voyages."
"St. Kevin","June 3","Founder of the monastic community at Glendalough in Ireland.","Dublin, blackbirds","d. 618","Ireland","Male","contemplation; service; leadership; community; nature","You cannot wash a blackbird’s feathers; only a blackbird can clean its own feathers.; In solitude, I seek the divinity that shines in all creation.; The divine light that is within you will guide you through the darkness.","St. Kevin","d. 618","d. 618","St. Kevin, known for his deep spiritual life, established a monastery in the picturesque valley of Glendalough, which became a significant center of learning and pilgrimage. He was renowned for his piety and connection to nature, often depicted with animals, especially blackbirds who are said to have been drawn to him. His legacy endures not only through his monastic foundation but also in the hearts of those who seek peace in the serenity of nature.","St. Kevin is often depicted in art with a blackbird perched on his hand, symbolizing his harmony with nature."
"St. Malachy","November 3","St. Malachy was a significant reformer of the Irish Church and the first native-born Archbishop of Armagh.","Ireland, peace","1094-1148","Ireland","Male","dedicated; visionary; compassionate; courageous; humble","Let us pray for the peace of the Church.; The Holy Spirit guides those who seek Him with sincerity.; Even in the darkest times, trust that God’s light will lead the way.","St. Malachy","1094-1148","d. 1148","St. Malachy was born in 1094 in Armagh, Ireland, and dedicated his life to revitalizing the ecclesiastical structure of his country. His tireless efforts in reform led to a more devout and unified church, earning him recognition as one of Ireland's greatest saints. He died in 1148, leaving a lasting legacy of peace and leadership in the Irish Church.","St. Malachy is known for his prophetic writings, which included predictions about the popes that still pique the interest of historians and theologians."
"St. David","March 1","He is revered as the patron saint of Wales and founder of many monasteries.","Wales, poets, oculists, vegetarians, and wolfs","c. 500-589","Wales","Male","devout; leadership; humble; artistic; community-oriented","Be joyful, keep the faith, and do the little things.; Do the best you can in everything you do, for God is sure to see and remember.; Where there is a church, there is no need for a palace.","St. David","c. 500-589","c. 500-589","St. David was a sixth-century bishop and the founder of monastic communities in Wales, notably at Glyn Rhosyn (now known as Glastonbury). He is celebrated for his piety, simplicity, and commitment to the Christian faith, living a life dedicated to the service of God and his community. St. David's legacy continues to inspire generations, and he is remembered as a national hero in Welsh culture.","St. David is said to have performed a miracle by raising a hill so that his followers could hear him preach."
"St. Andrew","November 30","St. Andrew is recognized as the first Apostle called by Jesus and the brother of Peter, who was martyred by crucifixion on an X-shaped cross.","Scotland, Russia, fishermen","1st century","Galilee","Male","devout; sacrificial; courageous; passionate; humble","Come, follow me, and I will make you fishers of men.; It is not the one who begins well who is blessed, but the one who ends well.; I have learned that to be with Christ is a joy which the world cannot give.","St. Andrew","November 30","d. 60","St. Andrew, one of the foremost apostles, dedicated his life to spreading the message of Jesus Christ. He is traditionally believed to have been martyred on an X-shaped cross in Patras, Greece, after a fervent ministry across various regions. His legacy as the patron saint of several countries reflects his impact and veneration throughout history.","St. Andrew is celebrated as the patron saint of Scotland, and his symbol, the Saltire, is featured on the national flag."
